feature,importance
feature_77,1171042.9465495348
feature_74,588885.6777941473
feature_13,534714.8621048927
feature_16,482588.5855293274
feature_61,402338.00674700737
feature_91,326218.9234539047
feature_41,261828.97924901545
feature_73,247529.77595312893
feature_4,230130.61995203933
feature_47,224079.03061415255
feature_15,207696.35026794672
feature_1,191684.722297322
feature_72,179327.88578009605
feature_38,177918.34822010994
feature_6,168728.47195154428
feature_44,167343.01488375664
feature_78,162127.1619071178
feature_12,160545.2245656848
feature_51,142722.90189485252
feature_89,141543.09381803463
feature_80,134529.1175214164
feature_39,131221.76577562094
feature_53,131038.4186090529
feature_3,128673.24152362347
feature_90,124962.01477575302
feature_81,120699.02646358311
feature_59,109654.62057065964
feature_0,101069.11078932881
feature_54,100356.72580593824
feature_83,95929.00651355088
feature_87,91129.09515178204
feature_45,90574.79246068001
feature_10,90317.64066947997
feature_92,83070.38137474656
feature_94,82413.67162991315
feature_75,80530.20100645721
feature_50,79084.54861938953
feature_57,78622.48346131295
feature_9,78412.47808003705
feature_82,77660.28342401981
feature_5,76071.73937140498
feature_93,75289.3516868949
feature_42,74228.44425009191
feature_84,72541.23622805253
feature_56,72030.23767969012
feature_85,65898.3783550039
feature_62,65016.459760807455
feature_60,62894.06149571517
feature_95,62142.85617637634
feature_48,60634.873270658776
feature_7,59346.90329527855
feature_63,57079.22927954793
feature_88,55147.18577204645
feature_65,53631.674764186144
feature_58,52808.196176383644
feature_46,52424.76313987374
feature_76,51401.33802051842
feature_11,49696.40009955317
feature_2,49677.26263475418
feature_14,48590.61990278959
feature_64,46340.080651551485
feature_86,44216.527690172195
feature_55,43138.80756037496
feature_49,41703.7239972651
feature_17,40724.118296884
feature_66,40346.99950128049
feature_67,39331.494999721646
feature_52,37107.69068491459
feature_96,34396.52447628975
feature_8,30853.775661975145
feature_97,30063.64866554737
feature_98,26615.23893997073
feature_99,23064.386762708426
feature_69,9811.967454791069
feature_31,9807.610984563828
feature_34,7813.698428124189
feature_40,4745.993605256081
feature_28,4375.411870598793
feature_70,4064.291153997183
feature_24,3906.718800112605
feature_30,3412.35869294405
feature_68,3400.998861372471
feature_33,3030.057408902794
feature_71,2623.947110198438
feature_25,2567.8901883363724
feature_18,2537.7308863401413
feature_43,2503.315065935254
feature_27,2192.0971364080906
feature_37,2007.3702575862408
feature_79,1892.418628334999
feature_21,1818.5539053678513
feature_22,1457.5510535240173
feature_19,968.1012895703316
feature_32,926.1154454946518
feature_36,604.558970451355
feature_23,591.6285416483879
feature_29,575.5916969776154
feature_35,440.64242482185364
feature_20,410.42819076776505
feature_26,199.0134009718895
