config_id,conv_filters,dense_units,dropout_rate,preprocessing,n_folds,mean_val_acc,std_val_acc,mean_motion_acc,std_motion_acc,mean_NoGesture_acc,std_NoGesture_acc,mean_Gesture_acc,std_Gesture_acc,mean_Move_acc,std_Move_acc,mean_nogesture_to_gesture,mean_nogesture_to_move,mean_gesture_to_nogesture,mean_gesture_to_move,mean_move_to_nogesture,mean_move_to_gesture,score
1,"(16, 32, 64)",64,0.3,basic,3,0.5213541666666667,0.019361694580121033,0.69296875,0.016202354027784523,0.5325080728964733,0.057792737676939814,0.5777801604137096,0.05304582905715181,0.42921041800337534,0.11169076134265604,0.32484851449655455,0.14264341260697225,0.2111675152319887,0.21105232435430174,0.22726797345012553,0.3435216085464991,3.2080889625831586
2,"(16, 32, 64)",64,0.3,enhanced,3,0.4695833333333333,0.013625342439631476,0.6478125,0.006956196652985008,0.41029423468979503,0.02683047064920983,0.6691451240761933,0.04731794177999325,0.2977471854754387,0.06188070362808466,0.5054286504613188,0.08427711484888623,0.23706572576066073,0.09378915016314594,0.21327026097015578,0.4889825535544055,2.603702122648386
3,"(16, 32, 64)",64,0.5,basic,3,0.48640625,0.052839767369141595,0.6716666666666667,0.034383127195819305,0.46589874683673144,0.06427274278506584,0.5494965076062021,0.06148311380839649,0.4498234721178435,0.16306250442578957,0.3729642734263896,0.16113697973687896,0.1876724100643706,0.26283108232942737,0.252257723826016,0.2979188040561404,2.871677374535205
4,"(16, 32, 64)",64,0.5,enhanced,3,0.46203125000000006,0.020455426643476948,0.6417708333333333,0.007895737136617162,0.34285013636853884,0.13620436850169887,0.6940913913675132,0.016512304993285168,0.3430804354131762,0.06937598575151797,0.5531957196836643,0.1039541439477968,0.18568873828070673,0.12021987035178021,0.2042627400212619,0.45265682456556194,2.5009712128998847
5,"(16, 32, 64)",128,0.3,basic,3,0.5021875,0.027419389429136933,0.6861979166666666,0.042892704171928274,0.5042143847102967,0.02466474653358747,0.6117686693241736,0.026074690592487217,0.37124521956233325,0.08527302203818408,0.36181838106301595,0.13396723422668744,0.1898537609287553,0.198377569747071,0.24261565206571065,0.38613912837195613,3.1597961846562606
6,"(16, 32, 64)",128,0.3,enhanced,3,0.4721875,0.020396860078003846,0.6539583333333333,0.012176365996835413,0.39216447879233884,0.08677032539661535,0.6724650866469276,0.04836572479322901,0.333018689761205,0.04034332701334659,0.5078675709728806,0.0999679502347806,0.20208059960450872,0.12545431374856375,0.20635351482359213,0.4606277954152029,2.6508409296457507
7,"(16, 32, 64)",128,0.5,basic,3,0.5119270833333333,0.0817419335873407,0.71734375,0.041624913976387574,0.5830283977813187,0.046049858158804115,0.5648883966781307,0.049669575373354494,0.3702626893315923,0.15644446047367166,0.24782173068779775,0.1691498715308836,0.20759569291971766,0.22751591040215155,0.211038613220351,0.41869869744805666,3.4552880581165275
8,"(16, 32, 64)",128,0.5,enhanced,3,0.463125,0.05225435463313081,0.6632291666666666,0.011809946079000043,0.30217231183109744,0.09438243982420966,0.7565166970279291,0.0705191819666246,0.29709720237697784,0.12292898592708143,0.6151145971040353,0.0827130910648673,0.14042344274550603,0.10305986022656481,0.15434521672857662,0.5485575808944456,2.5437350833858394
9,"(48, 96, 192)",64,0.3,basic,3,0.49151041666666667,0.03741012087787505,0.6633854166666667,0.06133090603213214,0.5876521478533633,0.07766805580101686,0.6130780913782731,0.08764039600608581,0.2357290823145566,0.027582043856886215,0.3163186951245423,0.09602915702209443,0.2511892832746801,0.13573262534704678,0.3253390357145723,0.438931881970871,3.219190650786953
10,"(48, 96, 192)",64,0.3,enhanced,3,0.47760416666666666,0.033367414218024485,0.6661458333333333,0.014417020407509869,0.38790791069024005,0.036866705532138284,0.6804541945791639,0.06855882110393793,0.3305378480792779,0.1042707063296579,0.4957182750925808,0.11637381421717909,0.17879168044558483,0.1407541249752514,0.19723899778076304,0.4722231541399591,2.7527743852444515
11,"(48, 96, 192)",64,0.5,basic,3,0.5175520833333334,0.04912339197255099,0.6843750000000001,0.02953607213716251,0.5576516030628725,0.06596774858566853,0.5571411807128968,0.07173158532954976,0.4192263420502944,0.04936721071706763,0.3067413877478546,0.13560700918927285,0.24384388695132628,0.19901493233577702,0.24894108531816653,0.33183257263153904,3.132416626180626
12,"(48, 96, 192)",64,0.5,enhanced,3,0.44651041666666663,0.02961733301515442,0.6421354166666666,0.009480597419496088,0.3135854299181759,0.08130795502173375,0.7287127728513676,0.07326313268339761,0.26928857764552194,0.04419523039024205,0.607773184771211,0.07864138531061311,0.17118847448076357,0.10009875266786873,0.19540992617232555,0.5353014961821524,2.423462004019983
13,"(48, 96, 192)",128,0.3,basic,3,0.47953125,0.004684026490816069,0.64828125,0.01969163316402848,0.5188093655774751,0.07109634157226619,0.5701176332347403,0.010467105585856276,0.33466761513590865,0.06853665331525667,0.35201652625800145,0.12917410816452343,0.26391059319477045,0.16597177357048928,0.2881539035323241,0.3771784813317672,2.8861594822280705
14,"(48, 96, 192)",128,0.3,enhanced,3,0.48598958333333336,0.018950891396507505,0.6596354166666667,0.019272381694553378,0.45715813661094645,0.10117886221758318,0.6061603940243233,0.07699327793450937,0.37924712469163274,0.09947431018163937,0.419174779694744,0.12366708369430957,0.24058828426921916,0.15325132170645756,0.21674380543184177,0.40400906987652546,2.7670662919461053
15,"(48, 96, 192)",128,0.5,basic,3,0.4925520833333334,0.05555961356707067,0.6736979166666667,0.054528240326050824,0.5176612091095537,0.031619693453795325,0.5933901106333898,0.05688050344645532,0.34770973802614913,0.0683973210168897,0.3434972600702508,0.13884153082019554,0.1983518914663144,0.2082579979002959,0.2814618068115517,0.3708284551622991,3.103938472845685
16,"(48, 96, 192)",128,0.5,enhanced,3,0.48531250000000004,0.036271545321367296,0.65328125,0.02205432450034841,0.4581044953527325,0.05505525188197507,0.65363037549104,0.06464541013790187,0.31135802259119033,0.017894091151448903,0.4466231241935064,0.09527238045376107,0.23543656685109368,0.11093305765786636,0.2546674504600405,0.43397452694876915,2.7829225642769777
