config_id,conv_filters,dense_units,dropout_rate,preprocessing,n_folds,mean_val_acc,std_val_acc,mean_motion_acc,std_motion_acc,mean_NoGesture_acc,std_NoGesture_acc,mean_Gesture_acc,std_Gesture_acc,mean_Move_acc,std_Move_acc,mean_nogesture_to_gesture,mean_nogesture_to_move,mean_gesture_to_nogesture,mean_gesture_to_move,mean_move_to_nogesture,mean_move_to_gesture,score
1,"(16, 32, 64)",64,0.3,basic,3,0.5076041666666667,0.0304481322691648,0.6715104166666667,0.0456742623131148,0.5688436650125546,0.0711246961218442,0.5988308254771847,0.0849447462130702,0.3256066419555665,0.0557996085598256,0.2524141535221189,0.1787421814653265,0.2454235416580668,0.1557456328647484,0.3127858401355267,0.3616075179089068,3.323756708349942
2,"(16, 32, 64)",64,0.3,enhanced,3,0.4722916666666667,0.0172684331866623,0.6939583333333333,0.0209356860739955,0.319365273950107,0.1025999518038589,0.806243321679386,0.0553170058176423,0.2575541209184112,0.0242427508494993,0.5828086780421998,0.097826048007693,0.0933830670005682,0.1003736113200458,0.1152102778150655,0.6272356012665233,2.963440267986788
3,"(16, 32, 64)",64,0.5,basic,3,0.515,0.0346975867466552,0.6818750000000001,0.0637388930275306,0.4623944773773429,0.0582655024480112,0.6590530548045169,0.039749862678726,0.4006697961252763,0.0614592977082283,0.3274926494723999,0.2101128731502572,0.1638289594098893,0.1771179857855937,0.2547222222948624,0.3446079815798612,3.271179259852486
4,"(16, 32, 64)",64,0.5,enhanced,3,0.475,0.0093236440591469,0.6915104166666666,0.0122569690352287,0.3209545219541962,0.103271298124113,0.8217481511120153,0.0401173885184931,0.2492591909330967,0.001855508812216,0.6016320880948669,0.0774133899509368,0.0825319304871639,0.0957199184008206,0.1338212556814767,0.6169195533854266,2.982284914909214
5,"(16, 32, 64)",128,0.3,basic,3,0.54484375,0.01246283537663081,0.6694791666666666,0.03506929833577924,0.6055636956883278,0.02944941731496757,0.6137988365176804,0.04520662347945777,0.3713009029537864,0.13851965698589377,0.27486520440584417,0.11957109990582794,0.2502750688811584,0.1359260946011611,0.3497624978803731,0.2789365991658404,3.3844191824613805
6,"(16, 32, 64)",128,0.3,enhanced,3,0.4750520833333334,0.010344279736351335,0.69546875,0.015026560685721377,0.33164492616328134,0.11927889847421572,0.8027958436881075,0.06786741686501443,0.2574035604988829,0.016878423226096898,0.5571746849492613,0.11118038888745731,0.09635151639542454,0.10085263991646787,0.118117893411677,0.6244785460894401,3.037891107277055
7,"(16, 32, 64)",128,0.5,basic,3,0.5470833333333333,0.02131322294309857,0.6928645833333333,0.04525900817716351,0.5914412652520816,0.0861570091798375,0.6401735377662071,0.083736744600982,0.3685215388930851,0.11455976547438829,0.27547093386488514,0.1330878008830333,0.2148892684113162,0.1449371938224766,0.3006816542051775,0.33079680690173746,3.5397897285410767
8,"(16, 32, 64)",128,0.5,enhanced,3,0.45921875,0.03482868228019831,0.6924479166666666,0.032957846077308436,0.30720757343328103,0.15695420564591653,0.8334802087092882,0.05215567090332665,0.19567174660932052,0.043623629456629676,0.6051743223689429,0.0876181041977761,0.08155648734007231,0.08496330395063952,0.11419749731169342,0.690130756078986,2.9504290125869095
9,"(48, 96, 192)",64,0.3,basic,3,0.5398958333333334,0.027853239513365203,0.6886979166666668,0.02264792711111889,0.6200295971373063,0.03833045853706852,0.670299072354021,0.05270103376963273,0.2821577716166571,0.054975670587692385,0.30024166839545846,0.07972873446723515,0.24442993023207402,0.08527099741390509,0.31643274853333964,0.40140947985000325,3.5295546522142254
10,"(48, 96, 192)",64,0.3,enhanced,3,0.4858854166666667,0.007340240000428376,0.7051562499999999,0.021153657214336895,0.3700524717550638,0.1077783283053485,0.8207747604958809,0.05601985565180017,0.22738387201606322,0.01595515507176023,0.5341346369474215,0.0958128912975148,0.1029507996574559,0.07627443984666316,0.12493748970204949,0.6476786382818873,3.2156121012917063
